após prefeit manau arthur virgíli psdb ter envi cart cobr prév part defin candidat presid repúbl govern paul presid part gerald alckmin neg rach legend alckmin diss nest terç feir prév divid prév escolh doi postul carg candidat presid,-1.0
juiz nivald brunon ª var feder curitib receb denúnc minist públic feder mpf transform réu ex govern paran bet rich psdb é acus ter aplic r mil fund nacion saúd desacord plan orig prefeit curitib quant dev ser aplic novembr dezembr trê unidad saúd porém apen obr propost sid conclu,-1.0
gustav pedr ferraz admit busc mal dinh geddel vie lim afirm pf ter trabalh campanh presid ent candidat aéci nev psdb ex dire defês civil salv bah resolv colabor investig sobr bunk r milhã digit ferraz encontr cédul r r reche mal caix dinh encontr mai apreens histór pf mei assess sen neg gustav trabalh campanh conselh étic pmdb bah ferraz admit busc mal dinh hotel paul ex ministr afirm aind volt salv voo fret,-1.0
govern rio jan luiz fern pe mdb pres preventiv manhã dest quint feir oper políci feder outr oit mand pris exped vej list suspeit abaix pe é acus receb dinh desvi dur set ano vic govern mandat ent govern sérgi cabr,-1.0
convenç nacion part pátr livr ppl lanç nest doming joã goulart filh candidat presid repúbl é filh ex presid joã goulart jang mandat presid interromp ditad milit é prim vez joã goulart filh concorr carg,-1.0
lad alckmin dor malafa diz apoi candidat defend ideolog gêner exp cristã govern prefeit elogi igrej diss ger empreg pastor sil malafa lad govern gerald alckmin prefeit joã dor diss nest quint feir apoi ideolog gêner pod segu caminh evangél autoridad particip abert ª exp cristã zon nort paul aproveit diz autoridad vam apoi nenhum ele apoi ideolog gêner apoi seg caminh diss pastor é mai engenh diab destru famíl conheç gêner human sex mach fême diss malafa negoci val complet govern prefeit tom café manhã malafa outr lideranç evangél ant,-1.0
ministr stf supr tribun feder gilm mend determin solt wilson carl ex secret govern rio jan braç direit sérgi cabr mdb pres oper lav jat desd novembr decis juiz marcel bret ª var crim feder respons prim inst lav jat rio,-1.0
políci feder minist públic feder cumpr nest terç feir mand busc apreens imóvel aéci nev psdb mg irmã andré nev rio jan min geral atual sen aéci termin mandat nest ano próx assum vag câm deput,-1.0
políci feder minist públic feder cumpr nest terç feir mand busc apreens imóvel aéci nev psdb mg irmã andré nev rio jan min geral atual sen aéci termin mandat nest ano próx assum vag câm deput,-1.0
part trabalh pt anunci nest terç feir fern haddad concorr presid repúbl lug ex presid luiz ináci lul silv registr candidat rejeit tribun superi eleitor tse,-1.0
pod decid expuls deput feder carl gaguim part após políci feder faz busc apreens gabinet câm legend abr espaç receb sen expuls pmdb kat abr mei not legend inform afast parlament alg acord fili sigl aind parlament comunic conclus desfili seman di fat notici hoj execu nacion pod solicit imediat cancel fili quadr part,-1.0
candidat psol guilherm boul afirm hoj part vai apoi candidat pt presid repúbl fern haddad red soc diss ter form apoi dur encontr petist apel pesso deix desanim defês direit sonh,-1.0
